model,defect,tau_star,n_pos,n_neg,tp,fp,fn,tn,sensitivity,specificity,bal_acc,f1
llava15_7b,mold,0.4,4,48,4,23,0,25,1.0,0.5208,0.7604,0.258065
llava15_7b,visible_cut,0.65,13,39,10,9,3,30,0.7692,0.7692,0.7692,0.625
llava15_7b,discoloration,0.8,15,37,10,12,5,25,0.6667,0.6757,0.6712,0.540541
llava15_7b,bruising,0.8,8,44,7,38,1,6,0.875,0.1364,0.5057,0.264151
llava15_7b,wrinkling,0.9,14,38,7,12,7,26,0.5,0.6842,0.5921,0.424242
qwen2_vl_7b,mold,0.6,4,48,4,2,0,46,1.0,0.9583,0.9792,0.8
qwen2_vl_7b,visible_cut,0.7,13,39,7,0,6,39,0.5385,1.0,0.7692,0.7
qwen2_vl_7b,discoloration,0.3,15,37,15,17,0,20,1.0,0.5405,0.7703,0.638298
qwen2_vl_7b,bruising,0.9,8,44,5,11,3,33,0.625,0.75,0.6875,0.416667
qwen2_vl_7b,wrinkling,0.2,14,38,14,36,0,2,1.0,0.0526,0.5263,0.4375
qwen25_vl_7b,mold,0.05,4,48,3,0,1,48,0.75,1.0,0.875,0.857143
qwen25_vl_7b,visible_cut,0.1,13,39,12,5,1,34,0.9231,0.8718,0.8974,0.8
qwen25_vl_7b,discoloration,0.1,15,37,8,10,7,27,0.5333,0.7297,0.6315,0.484848
qwen25_vl_7b,bruising,0.3,8,44,3,13,5,31,0.375,0.7045,0.5398,0.25
qwen25_vl_7b,wrinkling,0.95,14,38,0,0,14,38,0.0,1.0,0.5,0.0
internvl3_8b,mold,0.3,4,48,4,6,0,42,1.0,0.875,0.9375,0.571429
internvl3_8b,visible_cut,0.7,13,39,10,7,3,32,0.7692,0.8205,0.7949,0.666667
internvl3_8b,discoloration,0.5,15,37,15,17,0,20,1.0,0.5405,0.7703,0.638298
internvl3_8b,bruising,0.95,8,44,4,14,4,30,0.5,0.6818,0.5909,0.307692
internvl3_8b,wrinkling,0.05,14,38,12,35,2,3,0.8571,0.0789,0.468,0.393443
llama32_11b_vision,mold,0.4,4,48,4,3,0,45,1.0,0.9375,0.9688,0.727273
llama32_11b_vision,visible_cut,0.45,13,39,8,0,5,39,0.6154,1.0,0.8077,0.761905
llama32_11b_vision,discoloration,0.45,15,37,14,13,1,24,0.9333,0.6486,0.791,0.666667
llama32_11b_vision,bruising,0.5,8,44,5,24,3,20,0.625,0.4545,0.5398,0.27027
llama32_11b_vision,wrinkling,0.1,14,38,14,30,0,8,1.0,0.2105,0.6053,0.482759
