model,defect,n,n_pos,tau,precision,recall,f1_fixed,tp,fp,fn,n_pred_pos,tau_insample,f1_insample
LLaVA-1.5 7B,bruising,52,8,0.5,0.154,1.0,0.267,8,44,0,52,0.8,0.264
LLaVA-1.5 7B,discoloration,52,15,0.5,0.283,0.867,0.426,13,33,2,46,0.8,0.541
LLaVA-1.5 7B,leaking,52,0,0.5,,,,0,11,0,11,,
LLaVA-1.5 7B,mold,52,4,0.5,0.143,0.5,0.222,2,12,2,14,0.4,0.258
LLaVA-1.5 7B,visible_cut,52,13,0.5,0.4,0.769,0.526,10,15,3,25,0.65,0.625
LLaVA-1.5 7B,wrinkling,52,14,0.5,0.269,1.0,0.424,14,38,0,52,0.9,0.424
Qwen2-VL 7B,bruising,52,8,0.5,0.139,0.625,0.227,5,31,3,36,0.9,0.417
Qwen2-VL 7B,discoloration,52,15,0.5,0.458,0.733,0.564,11,13,4,24,0.3,0.638
Qwen2-VL 7B,leaking,52,0,0.5,,,,0,1,0,1,,
Qwen2-VL 7B,mold,52,4,0.5,0.364,1.0,0.533,4,7,0,11,0.6,0.8
Qwen2-VL 7B,visible_cut,52,13,0.5,0.583,0.538,0.56,7,5,6,12,0.65,0.7
Qwen2-VL 7B,wrinkling,52,14,0.5,0.163,0.5,0.246,7,36,7,43,0.1,0.438
Qwen2.5-VL 7B,bruising,52,8,0.5,0.182,0.25,0.211,2,9,6,11,0.3,0.25
Qwen2.5-VL 7B,discoloration,52,15,0.5,0.5,0.333,0.4,5,5,10,10,0.1,0.485
Qwen2.5-VL 7B,leaking,52,0,0.5,,,,0,0,0,0,,
Qwen2.5-VL 7B,mold,52,4,0.5,1.0,0.5,0.667,2,0,2,2,0.05,0.857
Qwen2.5-VL 7B,visible_cut,52,13,0.5,0.857,0.462,0.6,6,1,7,7,0.1,0.8
Qwen2.5-VL 7B,wrinkling,52,14,0.5,0.0,0.0,0.0,0,15,14,15,0.95,0.0
InternVL3 8B,bruising,52,8,0.5,0.143,0.75,0.24,6,36,2,42,0.95,0.308
InternVL3 8B,discoloration,52,15,0.5,0.469,1.0,0.638,15,17,0,32,0.5,0.638
InternVL3 8B,leaking,52,0,0.5,,,,0,0,0,0,,
InternVL3 8B,mold,52,4,0.5,0.333,0.75,0.462,3,6,1,9,0.3,0.571
InternVL3 8B,visible_cut,52,13,0.5,0.423,0.846,0.564,11,15,2,26,0.7,0.667
InternVL3 8B,wrinkling,52,14,0.5,0.189,0.5,0.275,7,30,7,37,0.05,0.393
Llama-3.2 11B-V,bruising,52,8,0.5,0.172,0.625,0.27,5,24,3,29,0.5,0.27
Llama-3.2 11B-V,discoloration,52,15,0.5,0.519,0.933,0.667,14,13,1,27,0.45,0.667
Llama-3.2 11B-V,leaking,52,0,0.5,,,,0,5,0,5,,
Llama-3.2 11B-V,mold,52,4,0.5,0.5,0.75,0.6,3,3,1,6,0.4,0.727
Llama-3.2 11B-V,visible_cut,52,13,0.5,1.0,0.615,0.762,8,0,5,8,0.45,0.762
Llama-3.2 11B-V,wrinkling,52,14,0.5,0.261,0.429,0.324,6,17,8,23,0.1,0.483
