model,strategy,n,macro_f1,f1_packaged,f1_produce,f1_bakery
llava15_7b,freeform_neutral,414,0.6303,0.8763,0.8608,0.1538
llava15_7b,freeform_brutal_critic,414,0.6753,0.8623,0.8188,0.3448
llava15_7b,freeform_indifferent_critic,414,0.7111,0.8798,0.8534,0.4
llava15_7b,freeform_nice_critic,414,0.6734,0.8606,0.8148,0.3448
llava15_7b,logit_multichoice,414,0.2286,0.6857,0.0,0.0
qwen2_vl_7b,freeform_neutral,414,0.7426,0.9432,0.9767,0.3077
qwen2_vl_7b,freeform_brutal_critic,414,0.726,0.9495,0.9885,0.24
qwen2_vl_7b,freeform_indifferent_critic,414,0.726,0.9495,0.9885,0.24
qwen2_vl_7b,freeform_nice_critic,414,0.7492,0.9515,0.9885,0.3077
qwen2_vl_7b,logit_multichoice,414,0.9311,0.9718,0.9914,0.8302
qwen25_vl_7b,freeform_neutral,414,0.9336,0.9407,0.9268,0.9333
qwen25_vl_7b,freeform_brutal_critic,415,0.8569,0.931,0.9337,0.7059
qwen25_vl_7b,freeform_indifferent_critic,414,0.9505,0.9794,0.9885,0.8837
qwen25_vl_7b,freeform_nice_critic,414,0.9622,0.9815,0.9885,0.9167
qwen25_vl_7b,logit_multichoice,414,0.8088,0.8934,0.9831,0.55
internvl3_8b,freeform_neutral,414,0.9434,0.979,0.9885,0.8627
internvl3_8b,freeform_brutal_critic,414,0.8912,0.9547,0.9857,0.7333
internvl3_8b,freeform_indifferent_critic,414,0.9013,0.9596,0.9857,0.7586
internvl3_8b,freeform_nice_critic,414,0.9083,0.9645,0.9885,0.7719
internvl3_8b,logit_multichoice,414,0.8947,0.9594,0.9914,0.7333
llama32_11b_vision,freeform_neutral,414,0.8087,0.9451,0.9649,0.5161
llama32_11b_vision,freeform_brutal_critic,414,0.9163,0.964,0.9741,0.8108
llama32_11b_vision,freeform_indifferent_critic,414,0.8491,0.9515,0.9708,0.625
llama32_11b_vision,freeform_nice_critic,414,0.9332,0.9729,0.9769,0.85
llama32_11b_vision,logit_multichoice,414,0.93,0.9663,0.9738,0.85
