model,strategy,n,macro_f1,f1_fresh,f1_edible_soon,f1_spoiled
llava15_7b,freeform_neutral,174,0.3441,0.7339,0.0,0.2985
llava15_7b,freeform_inspector,174,0.3845,0.6772,0.0,0.4762
llava15_7b,freeform_brutal_critic,174,0.3847,0.7075,0.0,0.4466
llava15_7b,freeform_indifferent_critic,174,0.3852,0.6593,0.0,0.4962
llava15_7b,freeform_nice_critic,174,0.3115,0.7528,0.0,0.1818
llava15_7b,logit_cascade,174,0.386,0.4056,0.2837,0.4688
qwen2_vl_7b,freeform_neutral,174,0.4387,0.7969,0.0488,0.4706
qwen2_vl_7b,freeform_inspector,174,0.4615,0.7926,0.0,0.5918
qwen2_vl_7b,freeform_brutal_critic,174,0.4434,0.7685,0.0,0.5618
qwen2_vl_7b,freeform_indifferent_critic,174,0.4714,0.7967,0.1176,0.5
qwen2_vl_7b,freeform_nice_critic,174,0.3425,0.8,0.1132,0.1143
qwen2_vl_7b,logit_cascade,174,0.5068,0.7107,0.2581,0.5517
qwen25_vl_7b,freeform_neutral,174,0.3099,0.7816,0.1481,0.0
qwen25_vl_7b,freeform_inspector,174,0.4632,0.7644,0.2308,0.3944
qwen25_vl_7b,freeform_brutal_critic,174,0.3784,0.5647,0.3433,0.2273
qwen25_vl_7b,freeform_indifferent_critic,174,0.3131,0.7342,0.2051,0.0
qwen25_vl_7b,freeform_nice_critic,174,0.3097,0.75,0.1791,0.0
qwen25_vl_7b,logit_cascade,174,0.3568,0.7857,0.2258,0.0588
internvl3_8b,freeform_neutral,174,0.4062,0.7639,0.2222,0.2326
internvl3_8b,freeform_inspector,174,0.409,0.7016,0.0,0.5254
internvl3_8b,freeform_brutal_critic,174,0.394,0.5697,0.2791,0.3333
internvl3_8b,freeform_indifferent_critic,174,0.4001,0.7615,0.2889,0.15
internvl3_8b,freeform_nice_critic,174,0.3439,0.7679,0.2637,0.0
internvl3_8b,logit_cascade,174,0.4985,0.7245,0.3265,0.4444
llama32_11b_vision,freeform_neutral,174,0.3405,0.6869,0.2759,0.0588
llama32_11b_vision,freeform_inspector,174,0.3862,0.6408,0.1967,0.321
llama32_11b_vision,freeform_brutal_critic,174,0.2602,0.4118,0.3687,0.0
llama32_11b_vision,freeform_indifferent_critic,174,0.2545,0.3676,0.3371,0.0588
llama32_11b_vision,freeform_nice_critic,174,0.347,0.7077,0.3333,0.0
llama32_11b_vision,logit_cascade,174,0.384,0.701,0.2931,0.1579
