model,strategy,defect,n,annotated_count,tp,fp,fn,precision,recall,f1
internvl3_8b,freeform_brutal_critic,wrinkling,52,14,4,7,10,0.3636,0.2857,0.32
internvl3_8b,freeform_brutal_critic,visible_cut,52,13,7,1,6,0.875,0.5385,0.6667
internvl3_8b,freeform_brutal_critic,bruising,52,8,4,18,4,0.1818,0.5,0.2667
internvl3_8b,freeform_brutal_critic,discoloration,52,15,15,24,0,0.3846,1.0,0.5556
internvl3_8b,freeform_brutal_critic,leaking,52,0,0,0,0,,,
internvl3_8b,freeform_brutal_critic,mold,52,4,1,1,3,0.5,0.25,0.3333
internvl3_8b,freeform_brutal_critic,macro,52,,,,,,,0.4284
internvl3_8b,freeform_indifferent_critic,wrinkling,52,14,2,8,12,0.2,0.1429,0.1667
internvl3_8b,freeform_indifferent_critic,visible_cut,52,13,7,1,6,0.875,0.5385,0.6667
internvl3_8b,freeform_indifferent_critic,bruising,52,8,3,13,5,0.1875,0.375,0.25
internvl3_8b,freeform_indifferent_critic,discoloration,52,15,14,18,1,0.4375,0.9333,0.5957
internvl3_8b,freeform_indifferent_critic,leaking,52,0,0,0,0,,,
internvl3_8b,freeform_indifferent_critic,mold,52,4,1,1,3,0.5,0.25,0.3333
internvl3_8b,freeform_indifferent_critic,macro,52,,,,,,,0.4025
internvl3_8b,freeform_list,wrinkling,52,14,4,11,10,0.2667,0.2857,0.2759
internvl3_8b,freeform_list,visible_cut,52,13,8,0,5,1.0,0.6154,0.7619
internvl3_8b,freeform_list,bruising,52,8,3,15,5,0.1667,0.375,0.2308
internvl3_8b,freeform_list,discoloration,52,15,15,18,0,0.4545,1.0,0.625
internvl3_8b,freeform_list,leaking,52,0,0,0,0,,,
internvl3_8b,freeform_list,mold,52,4,0,1,4,0.0,0.0,0.0
internvl3_8b,freeform_list,macro,52,,,,,,,0.3787
internvl3_8b,freeform_nice_critic,wrinkling,52,14,0,5,14,0.0,0.0,0.0
internvl3_8b,freeform_nice_critic,visible_cut,52,13,6,0,7,1.0,0.4615,0.6316
internvl3_8b,freeform_nice_critic,bruising,52,8,1,6,7,0.1429,0.125,0.1333
internvl3_8b,freeform_nice_critic,discoloration,52,15,10,13,5,0.4348,0.6667,0.5263
internvl3_8b,freeform_nice_critic,leaking,52,0,0,0,0,,,
internvl3_8b,freeform_nice_critic,mold,52,4,0,0,4,0.0,0.0,0.0
internvl3_8b,freeform_nice_critic,macro,52,,,,,,,0.2582
internvl3_8b,logit_per_defect,wrinkling,52,14,7,30,7,0.1892,0.5,0.2745
internvl3_8b,logit_per_defect,visible_cut,52,13,11,15,2,0.4231,0.8462,0.5641
internvl3_8b,logit_per_defect,bruising,52,8,6,36,2,0.1429,0.75,0.24
internvl3_8b,logit_per_defect,discoloration,52,15,15,17,0,0.4688,1.0,0.6383
internvl3_8b,logit_per_defect,leaking,52,0,0,0,0,,,
internvl3_8b,logit_per_defect,mold,52,4,3,6,1,0.3333,0.75,0.4615
internvl3_8b,logit_per_defect,macro,52,,,,,,,0.4357
llama32_11b_vision,freeform_brutal_critic,wrinkling,52,14,13,35,1,0.2708,0.9286,0.4194
llama32_11b_vision,freeform_brutal_critic,visible_cut,52,13,3,5,10,0.375,0.2308,0.2857
llama32_11b_vision,freeform_brutal_critic,bruising,52,8,1,13,7,0.0714,0.125,0.0909
llama32_11b_vision,freeform_brutal_critic,discoloration,52,15,15,28,0,0.3488,1.0,0.5172
llama32_11b_vision,freeform_brutal_critic,leaking,52,0,0,0,0,,,
llama32_11b_vision,freeform_brutal_critic,mold,52,4,3,0,1,1.0,0.75,0.8571
llama32_11b_vision,freeform_brutal_critic,macro,52,,,,,,,0.4341
llama32_11b_vision,freeform_indifferent_critic,wrinkling,52,14,14,36,0,0.28,1.0,0.4375
llama32_11b_vision,freeform_indifferent_critic,visible_cut,52,13,2,2,11,0.5,0.1538,0.2353
llama32_11b_vision,freeform_indifferent_critic,bruising,52,8,0,4,8,0.0,0.0,0.0
llama32_11b_vision,freeform_indifferent_critic,discoloration,52,15,13,14,2,0.4815,0.8667,0.619
llama32_11b_vision,freeform_indifferent_critic,leaking,52,0,0,0,0,,,
llama32_11b_vision,freeform_indifferent_critic,mold,52,4,3,0,1,1.0,0.75,0.8571
llama32_11b_vision,freeform_indifferent_critic,macro,52,,,,,,,0.4298
llama32_11b_vision,freeform_list,wrinkling,52,14,7,31,7,0.1842,0.5,0.2692
llama32_11b_vision,freeform_list,visible_cut,52,13,7,13,6,0.35,0.5385,0.4242
llama32_11b_vision,freeform_list,bruising,52,8,1,10,7,0.0909,0.125,0.1053
llama32_11b_vision,freeform_list,discoloration,52,15,12,17,3,0.4138,0.8,0.5455
llama32_11b_vision,freeform_list,leaking,52,0,0,0,0,,,
llama32_11b_vision,freeform_list,mold,52,4,4,2,0,0.6667,1.0,0.8
llama32_11b_vision,freeform_list,macro,52,,,,,,,0.4288
llama32_11b_vision,freeform_nice_critic,wrinkling,52,14,4,25,10,0.1379,0.2857,0.186
llama32_11b_vision,freeform_nice_critic,visible_cut,52,13,1,10,12,0.0909,0.0769,0.0833
llama32_11b_vision,freeform_nice_critic,bruising,52,8,2,9,6,0.1818,0.25,0.2105
llama32_11b_vision,freeform_nice_critic,discoloration,52,15,11,12,4,0.4783,0.7333,0.5789
llama32_11b_vision,freeform_nice_critic,leaking,52,0,0,0,0,,,
llama32_11b_vision,freeform_nice_critic,mold,52,4,4,0,0,1.0,1.0,1.0
llama32_11b_vision,freeform_nice_critic,macro,52,,,,,,,0.4118
llama32_11b_vision,logit_per_defect,wrinkling,52,14,6,17,8,0.2609,0.4286,0.3243
llama32_11b_vision,logit_per_defect,visible_cut,52,13,8,0,5,1.0,0.6154,0.7619
llama32_11b_vision,logit_per_defect,bruising,52,8,5,24,3,0.1724,0.625,0.2703
llama32_11b_vision,logit_per_defect,discoloration,52,15,14,13,1,0.5185,0.9333,0.6667
llama32_11b_vision,logit_per_defect,leaking,52,0,0,5,0,,,
llama32_11b_vision,logit_per_defect,mold,52,4,3,3,1,0.5,0.75,0.6
llama32_11b_vision,logit_per_defect,macro,52,,,,,,,0.5246
llava15_7b,freeform_brutal_critic,wrinkling,52,14,9,22,5,0.2903,0.6429,0.4
llava15_7b,freeform_brutal_critic,visible_cut,52,13,6,24,7,0.2,0.4615,0.2791
llava15_7b,freeform_brutal_critic,bruising,52,8,4,26,4,0.1333,0.5,0.2105
llava15_7b,freeform_brutal_critic,discoloration,52,15,9,21,6,0.3,0.6,0.4
llava15_7b,freeform_brutal_critic,leaking,52,0,0,30,0,,,
llava15_7b,freeform_brutal_critic,mold,52,4,2,28,2,0.0667,0.5,0.1176
llava15_7b,freeform_brutal_critic,macro,52,,,,,,,0.2814
llava15_7b,freeform_indifferent_critic,wrinkling,52,14,9,33,5,0.2143,0.6429,0.3214
llava15_7b,freeform_indifferent_critic,visible_cut,52,13,13,27,0,0.325,1.0,0.4906
llava15_7b,freeform_indifferent_critic,bruising,52,8,6,34,2,0.15,0.75,0.25
llava15_7b,freeform_indifferent_critic,discoloration,52,15,13,29,2,0.3095,0.8667,0.4561
llava15_7b,freeform_indifferent_critic,leaking,52,0,0,41,0,,,
llava15_7b,freeform_indifferent_critic,mold,52,4,3,37,1,0.075,0.75,0.1364
llava15_7b,freeform_indifferent_critic,macro,52,,,,,,,0.3309
llava15_7b,freeform_list,wrinkling,52,14,12,31,2,0.2791,0.8571,0.4211
llava15_7b,freeform_list,visible_cut,52,13,10,33,3,0.2326,0.7692,0.3571
llava15_7b,freeform_list,bruising,52,8,5,38,3,0.1163,0.625,0.1961
llava15_7b,freeform_list,discoloration,52,15,13,30,2,0.3023,0.8667,0.4483
llava15_7b,freeform_list,leaking,52,0,0,43,0,,,
llava15_7b,freeform_list,mold,52,4,4,39,0,0.093,1.0,0.1702
llava15_7b,freeform_list,macro,52,,,,,,,0.3186
llava15_7b,freeform_nice_critic,wrinkling,52,14,6,17,8,0.2609,0.4286,0.3243
llava15_7b,freeform_nice_critic,visible_cut,52,13,7,15,6,0.3182,0.5385,0.4
llava15_7b,freeform_nice_critic,bruising,52,8,3,19,5,0.1364,0.375,0.2
llava15_7b,freeform_nice_critic,discoloration,52,15,4,18,11,0.1818,0.2667,0.2162
llava15_7b,freeform_nice_critic,leaking,52,0,0,22,0,,,
llava15_7b,freeform_nice_critic,mold,52,4,2,20,2,0.0909,0.5,0.1538
llava15_7b,freeform_nice_critic,macro,52,,,,,,,0.2589
llava15_7b,logit_per_defect,wrinkling,52,14,14,38,0,0.2692,1.0,0.4242
llava15_7b,logit_per_defect,visible_cut,52,13,10,15,3,0.4,0.7692,0.5263
llava15_7b,logit_per_defect,bruising,52,8,8,44,0,0.1538,1.0,0.2667
llava15_7b,logit_per_defect,discoloration,52,15,13,33,2,0.2826,0.8667,0.4262
llava15_7b,logit_per_defect,leaking,52,0,0,11,0,,,
llava15_7b,logit_per_defect,mold,52,4,2,12,2,0.1429,0.5,0.2222
llava15_7b,logit_per_defect,macro,52,,,,,,,0.3731
qwen25_vl_7b,freeform_brutal_critic,wrinkling,52,14,1,17,13,0.0556,0.0714,0.0625
qwen25_vl_7b,freeform_brutal_critic,visible_cut,52,13,5,1,8,0.8333,0.3846,0.5263
