epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9651,1.42821,9.58227,1.67947,0.0008,0.375,0.04625,0.02896,1.2464,3.69661,1.72574,0.000248794,0.000248794,0.000248794
2,20.1903,1.56621,9.49091,1.70887,0.00092,0.375,0.02896,0.01902,1.49965,3.73635,1.85912,0.000496793,0.000496793,0.000496793
3,26.7341,1.51286,7.60146,1.65704,0.00128,0.3125,0.01475,0.00417,2.23963,3.86531,2.59144,0.000736333,0.000736333,0.000736333
4,33.1738,1.56912,9.40156,1.6598,0.00306,0.625,0.01942,0.00733,2.14325,3.82758,2.40677,0.000730935,0.000730935,0.000730935
5,39.1549,1.81382,9.0152,1.75513,0.00349,0.625,0.04926,0.01929,1.91164,3.86814,2.43309,0.000718246,0.000718246,0.000718246
6,45.5549,1.55642,8.50505,1.4995,0.00339,0.625,0.10368,0.041,1.6889,3.73405,2.15265,0.000705558,0.000705558,0.000705558
7,51.915,1.44664,7.31061,1.52681,0.00338,0.625,0.1349,0.07749,1.8573,4.00184,1.91087,0.000692869,0.000692869,0.000692869
8,58.2485,1.63072,7.31118,1.61581,0.00348,0.625,0.13938,0.09791,1.57258,3.37584,1.85192,0.000680181,0.000680181,0.000680181
9,64.6372,1.43843,8.11961,1.59423,0.85919,0.125,0.15727,0.07825,1.44966,3.20097,1.85359,0.000667492,0.000667492,0.000667492
10,71.2138,1.6507,6.31073,1.7838,0.01286,0.125,0.10657,0.05287,1.53406,3.37036,1.99164,0.000654804,0.000654804,0.000654804
11,77.4179,1.31375,6.95093,1.53684,0.00369,0.625,0.07642,0.02054,1.84842,4.53919,2.01995,0.000642115,0.000642115,0.000642115
12,83.528,1.59257,5.78507,1.66134,0.00411,0.875,0.06736,0.02901,1.76098,3.48896,2.11117,0.000629427,0.000629427,0.000629427
13,90.1307,1.55747,7.33441,1.61427,0.05779,0.37403,0.17269,0.07415,1.52613,3.09879,1.95891,0.000616738,0.000616738,0.000616738
14,96.617,1.66299,7.56311,1.62164,0.6428,0.125,0.13197,0.06609,1.47195,3.06316,1.83709,0.00060405,0.00060405,0.00060405
15,103.04,1.46752,7.20434,1.44587,0.9785,0.125,0.16295,0.06761,1.75954,3.0525,2.14889,0.000591361,0.000591361,0.000591361
16,109.438,1.60223,6.86125,1.57355,0.48508,0.125,0.13992,0.06905,1.74142,3.1285,2.20154,0.000578672,0.000578672,0.000578672
17,115.493,1.581,9.18483,1.61198,0.72798,0.125,0.15736,0.06454,1.66976,3.09566,2.06224,0.000565984,0.000565984,0.000565984
18,121.746,1.49718,7.70721,1.64094,0.54714,0.29036,0.1862,0.08589,1.6853,2.95824,2.0418,0.000553296,0.000553296,0.000553296
19,128.232,1.42552,5.87606,1.45995,0.75531,0.28358,0.22405,0.09117,1.67149,2.81191,2.228,0.000540607,0.000540607,0.000540607
20,134.47,1.4902,6.28251,1.51626,0.76302,0.375,0.39428,0.13487,1.53316,2.87475,2.05366,0.000527919,0.000527919,0.000527919
21,140.749,1.30541,8.3793,1.26903,0.54402,0.29848,0.39008,0.13103,1.52975,2.91891,2.04253,0.00051523,0.00051523,0.00051523
22,146.929,1.33579,5.21847,1.40928,0.33185,0.125,0.25486,0.09397,1.56785,3.13596,2.13707,0.000502541,0.000502541,0.000502541
23,153.158,1.40039,7.43911,1.36549,0.1559,0.16319,0.1721,0.08346,1.7224,3.17255,2.39232,0.000489853,0.000489853,0.000489853
24,159.65,1.30892,7.09769,1.30395,0.13274,0.29167,0.19763,0.11576,1.63997,3.15889,2.32456,0.000477165,0.000477165,0.000477165
25,166.181,1.38634,7.48767,1.62967,0.2057,0.17452,0.23649,0.14808,1.55297,2.93767,2.36292,0.000464476,0.000464476,0.000464476
26,172.626,1.20279,8.19954,1.31327,0.58281,0.29167,0.34133,0.19601,1.56351,2.95037,2.15667,0.000451787,0.000451787,0.000451787
27,178.802,1.42757,6.57108,1.505,0.302,0.3138,0.31981,0.20801,1.35921,2.81204,1.96716,0.000439099,0.000439099,0.000439099
28,185.268,1.23229,6.77789,1.36513,0.34057,0.375,0.32347,0.19978,1.41786,2.43534,1.90412,0.000426411,0.000426411,0.000426411
29,191.619,1.16406,6.76043,1.28066,0.75,0.28554,0.35587,0.22668,1.53542,2.42029,1.90995,0.000413722,0.000413722,0.000413722
30,197.993,1.29268,6.59475,1.41226,0.699,0.35333,0.40285,0.29196,1.33491,2.20216,1.80706,0.000401033,0.000401033,0.000401033
31,204.723,1.3568,5.79907,1.44879,0.67058,0.375,0.41925,0.29435,1.29827,2.2611,1.81415,0.000388345,0.000388345,0.000388345
32,210.818,1.36494,7.78008,1.41111,0.74504,0.56284,0.50106,0.34655,1.40343,2.28429,1.89089,0.000375656,0.000375656,0.000375656
33,217.372,1.2987,5.74122,1.33012,0.67029,0.51671,0.4696,0.33246,1.34968,2.39463,1.81971,0.000362968,0.000362968,0.000362968
34,223.694,1.00087,6.92501,1.16183,0.37009,0.5394,0.36585,0.28615,1.19701,2.48721,1.66874,0.00035028,0.00035028,0.00035028
35,229.889,1.04513,5.5098,1.2114,0.3411,0.41667,0.26095,0.17106,1.32789,3.13699,1.68641,0.000337591,0.000337591,0.000337591
36,236.121,1.1452,7.2752,1.15814,0.5188,0.30343,0.36208,0.25495,1.46581,2.97013,1.72696,0.000324903,0.000324903,0.000324903
37,242.341,1.26237,5.46664,1.34478,0.59476,0.33333,0.32841,0.24232,1.42395,2.70677,1.69782,0.000312214,0.000312214,0.000312214
38,248.367,1.11946,5.20842,1.30371,0.60696,0.33333,0.38692,0.29764,1.28081,2.53096,1.59916,0.000299525,0.000299525,0.000299525
39,254.693,1.24725,5.44889,1.3681,0.37178,0.5625,0.42076,0.31159,1.25701,2.9593,1.51491,0.000286837,0.000286837,0.000286837
40,260.902,1.09406,4.85014,1.22189,0.54655,0.51062,0.48179,0.36989,1.25326,2.91379,1.46434,0.000274148,0.000274148,0.000274148
41,267.44,1.15766,4.17132,1.30981,0.51281,0.53837,0.61812,0.49202,1.19537,2.41986,1.4719,0.00026146,0.00026146,0.00026146
42,273.616,1.13065,5.34856,1.22399,0.68378,0.5232,0.63428,0.54241,1.17403,2.22508,1.54382,0.000248772,0.000248772,0.000248772
43,279.671,1.1573,6.43505,1.25682,0.95709,0.48525,0.63535,0.51814,1.21437,2.21484,1.61587,0.000236083,0.000236083,0.000236083
44,285.948,0.91863,7.6591,1.0156,0.87703,0.47762,0.59887,0.48647,1.20331,2.3966,1.62615,0.000223395,0.000223395,0.000223395
45,292.512,1.15777,5.12539,1.26805,0.82547,0.47917,0.6005,0.49223,1.21637,2.42536,1.62444,0.000210706,0.000210706,0.000210706
46,298.899,1.03871,5.02301,1.27358,0.86493,0.58012,0.64503,0.52387,1.24658,2.32616,1.61568,0.000198018,0.000198018,0.000198018
47,305.47,0.98946,5.59548,1.13298,0.68132,0.4971,0.64748,0.52579,1.3307,2.40884,1.66647,0.000185329,0.000185329,0.000185329
48,311.665,1.00815,5.13446,1.16854,0.67063,0.48639,0.63564,0.47865,1.35731,2.59649,1.72854,0.000172641,0.000172641,0.000172641
49,317.781,0.99496,5.04348,1.19453,0.66342,0.46645,0.63622,0.4662,1.31952,2.54028,1.70984,0.000159952,0.000159952,0.000159952
50,324.343,0.99601,3.68968,1.22307,0.51961,0.625,0.63421,0.46581,1.41954,2.38577,1.74453,0.000147264,0.000147264,0.000147264
51,335.238,0.73677,8.49494,0.91349,0.82718,0.62227,0.58034,0.45329,1.51901,2.70249,1.85281,0.000134575,0.000134575,0.000134575
52,342.669,0.88089,6.53874,1.0814,0.8242,0.625,0.63399,0.47507,1.4796,2.76389,1.84833,0.000121887,0.000121887,0.000121887
