epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.607,2.56197,16.2301,2.49517,0.91522,0.08933,0.19535,0.06058,2.33306,16.7688,2.28611,0.000469224,0.000469224,0.000469224
2,28.2207,2.37416,14.9417,2.18431,0.80437,0.21212,0.17339,0.05613,2.30421,13.7154,2.13574,0.000929956,0.000929956,0.000929956
3,40.3743,2.19828,14.3598,2.02372,0.07834,0.4899,0.1033,0.03562,2.34172,15.3012,2.0846,0.00137497,0.00137497,0.00137497
4,52.1719,2.22173,14.6115,2.02806,0.03292,0.24242,0.04796,0.01444,2.39325,14.7883,2.3307,0.00135826,0.00135826,0.00135826
5,64.5173,2.19876,14.0398,2.07922,0.41719,0.23232,0.077,0.02718,2.07398,16.8082,2.21303,0.00133469,0.00133469,0.00133469
6,77.0297,2.17736,14.1221,2.06532,0.40719,0.2171,0.09702,0.02579,2.09845,15.5363,2.04484,0.00131111,0.00131111,0.00131111
7,89.5426,2.08403,13.9736,2.00833,0.35546,0.09091,0.03835,0.01098,2.15304,16.2772,2.16359,0.00128753,0.00128753,0.00128753
8,102.08,2.18875,14.0372,2.08068,0.76516,0.21212,0.09939,0.0275,2.00119,14.9885,1.9775,0.00126395,0.00126395,0.00126395
9,114.047,2.16049,13.9876,2.06093,0.70155,0.12121,0.06097,0.02224,1.90338,16.3662,1.87342,0.00124037,0.00124037,0.00124037
10,126.507,2.1043,13.9267,2.03851,0.70679,0.21212,0.07656,0.02104,2.07462,14.6721,2.08314,0.00121679,0.00121679,0.00121679
11,138.279,2.16859,13.8011,2.10068,0.70999,0.21212,0.08412,0.02565,2.0291,13.7422,2.10147,0.00119322,0.00119322,0.00119322
12,150.494,2.19953,13.6994,2.13066,0.37601,0.24242,0.09407,0.03208,1.96845,13.4948,1.98344,0.00116964,0.00116964,0.00116964
13,162.883,2.09347,13.6495,2.03878,0.73483,0.18182,0.08036,0.02657,1.94614,13.862,1.94519,0.00114606,0.00114606,0.00114606
14,174.954,2.05859,13.5718,2.01579,0.72457,0.24242,0.09428,0.03103,2.12763,13.9013,2.07919,0.00112248,0.00112248,0.00112248
15,186.547,2.10679,13.1935,2.04707,0.71022,0.21212,0.09626,0.03207,1.99571,13.7009,2.00938,0.0010989,0.0010989,0.0010989
16,198.171,1.94595,13.3074,2.01019,0.75498,0.12121,0.11704,0.03734,2.03683,13.816,2.07224,0.00107532,0.00107532,0.00107532
17,210.556,2.06675,13.2249,2.08298,0.5208,0.37374,0.24714,0.07412,2.11618,13.3377,2.13545,0.00105174,0.00105174,0.00105174
18,222.461,2.00894,13.4587,2.03972,0.46423,0.19289,0.23342,0.0659,2.03936,12.868,2.13616,0.00102817,0.00102817,0.00102817
19,234.448,2.02091,13.3967,2.06316,0.79165,0.21212,0.14003,0.05736,1.85844,12.8409,1.99447,0.00100459,0.00100459,0.00100459
20,246.357,2.10464,13.2175,2.08009,0.43874,0.18182,0.13594,0.0602,1.87216,13.728,1.9747,0.000981008,0.000981008,0.000981008
21,258.644,2.09537,12.9929,2.04247,0.7794,0.18182,0.11122,0.04306,2.00307,13.8334,2.06607,0.00095743,0.00095743,0.00095743
22,270.382,2.05146,13.1108,2.00184,0.41702,0.18182,0.10147,0.03766,2.09821,13.7729,2.13725,0.000933851,0.000933851,0.000933851
23,282.548,2.02585,12.5852,1.97613,0.77395,0.18182,0.10478,0.04004,2.07433,13.1331,2.13295,0.000910273,0.000910273,0.000910273
24,294.595,2.1361,12.5989,2.0811,0.77522,0.21212,0.11406,0.03634,2.07085,16.2438,2.15045,0.000886694,0.000886694,0.000886694
25,306.298,2.0119,12.6327,2.00242,0.354,0.21212,0.11356,0.02684,2.13787,16.2064,2.17218,0.000863116,0.000863116,0.000863116
26,318.147,2.01793,12.9185,2.02661,0.37887,0.29293,0.0892,0.02925,1.99017,14.202,2.01128,0.000839537,0.000839537,0.000839537
27,329.817,2.03841,12.4004,2.01222,0.41109,0.18448,0.13745,0.0548,2.01121,13.3092,2.05361,0.000815959,0.000815959,0.000815959
28,341.973,2.00674,12.4031,2.02491,0.79178,0.20071,0.14794,0.05654,2.05565,12.6229,2.07276,0.00079238,0.00079238,0.00079238
29,354.095,2.03657,12.8867,2.00119,0.72872,0.24242,0.12471,0.03618,1.99013,13.6878,2.01405,0.000768802,0.000768802,0.000768802
30,365.724,2.00257,12.8508,1.9945,0.393,0.24242,0.11036,0.03697,2.03147,13.6182,1.97458,0.000745223,0.000745223,0.000745223
31,377.871,2.0041,12.3638,1.99293,0.06081,0.27273,0.14796,0.03887,2.04535,13.4537,1.95713,0.000721645,0.000721645,0.000721645
32,389.746,2.00195,12.5073,1.98159,0.77409,0.17328,0.10713,0.04867,1.97832,13.0165,1.92088,0.000698066,0.000698066,0.000698066
33,401.736,2.02524,12.216,1.97017,0.79709,0.18182,0.15292,0.04653,2.08927,12.8391,2.00622,0.000674488,0.000674488,0.000674488
34,413.745,1.99941,12.5967,1.91952,0.76253,0.27273,0.14894,0.04134,2.20621,13.0085,2.10074,0.000650909,0.000650909,0.000650909
35,425.728,2.01409,12.5827,1.92558,0.71987,0.24242,0.10913,0.036,2.06029,13.6226,2.00867,0.000627331,0.000627331,0.000627331
36,437.441,1.9568,12.6222,1.87653,0.72899,0.24242,0.11459,0.04183,2.04335,13.4465,2.04702,0.000603752,0.000603752,0.000603752
37,449.494,1.92771,12.4075,1.888,0.38137,0.27273,0.10362,0.03013,2.17216,13.9409,2.1547,0.000580174,0.000580174,0.000580174
38,462.231,1.95379,12.0016,1.94193,0.39379,0.21212,0.10449,0.04077,2.07055,13.5966,2.07944,0.000556595,0.000556595,0.000556595
39,474.214,1.97917,12.129,1.98865,0.7567,0.15152,0.09415,0.03558,2.13448,12.8842,2.13405,0.000533017,0.000533017,0.000533017
40,486.016,1.97049,11.7191,1.95686,0.79199,0.21935,0.12774,0.03896,2.10285,12.9578,2.04584,0.000509438,0.000509438,0.000509438
41,498.017,1.959,11.9216,1.92665,0.81087,0.21212,0.16068,0.0485,2.07387,12.7415,2.02121,0.00048586,0.00048586,0.00048586
